date,home_school,opponent_school,position,home_player_1,home_player_2,g1_home,g1_opponent,g2_home,g2_opponent,g3_home,g3_opponent
2026-03-12,North Valley High,East Ridge High,BS1,B01,,21,15,21,17,,
2026-03-12,North Valley High,East Ridge High,BS2,B02,,21,18,19,21,21,16
2026-03-12,North Valley High,East Ridge High,BS3,B03,,16,21,21,17,18,21
2026-03-12,North Valley High,East Ridge High,BS4,B04,,21,19,21,18,,
2026-03-12,North Valley High,East Ridge High,GS1,G01,,21,14,21,12,,
2026-03-12,North Valley High,East Ridge High,GS2,G02,,17,21,21,19,21,18
2026-03-12,North Valley High,East Ridge High,GS3,G03,,18,21,15,21,,
2026-03-12,North Valley High,East Ridge High,GS4,G04,,21,13,21,16,,
2026-03-12,North Valley High,East Ridge High,BD1,B05,B06,21,17,21,19,,
2026-03-12,North Valley High,East Ridge High,BD2,B07,B08,15,21,21,18,19,21
2026-03-12,North Valley High,East Ridge High,BD3,B09,B10,21,16,18,21,21,14
2026-03-12,North Valley High,East Ridge High,GD1,G05,G06,21,18,21,17,,
2026-03-12,North Valley High,East Ridge High,GD2,G07,G08,14,21,17,21,,
2026-03-12,North Valley High,East Ridge High,GD3,G09,G10,21,19,16,21,21,18
2026-03-12,North Valley High,East Ridge High,XD1,B11,G11,21,15,21,13,,
2026-03-12,North Valley High,East Ridge High,XD2,B12,G12,18,21,21,17,17,21
2026-03-12,North Valley High,East Ridge High,XD3,B13,G13,21,19,19,21,21,17
