school,season,player_id,name,gender,rank,ladder_size,active
North Valley High,2026,B01,B1,Boys,1,13,1
North Valley High,2026,B02,B2,Boys,2,13,1
North Valley High,2026,B03,B3,Boys,3,13,1
North Valley High,2026,B04,B4,Boys,4,13,1
North Valley High,2026,B05,B5,Boys,5,13,1
North Valley High,2026,B06,B6,Boys,6,13,1
North Valley High,2026,B07,B7,Boys,7,13,1
North Valley High,2026,B08,B8,Boys,8,13,1
North Valley High,2026,B09,B9,Boys,9,13,1
North Valley High,2026,B10,B10,Boys,10,13,1
North Valley High,2026,B11,B11,Boys,11,13,1
North Valley High,2026,B12,B12,Boys,12,13,1
North Valley High,2026,B13,B13,Boys,13,13,1
North Valley High,2026,G01,G1,Girls,1,13,1
North Valley High,2026,G02,G2,Girls,2,13,1
North Valley High,2026,G03,G3,Girls,3,13,1
North Valley High,2026,G04,G4,Girls,4,13,1
North Valley High,2026,G05,G5,Girls,5,13,1
North Valley High,2026,G06,G6,Girls,6,13,1
North Valley High,2026,G07,G7,Girls,7,13,1
North Valley High,2026,G08,G8,Girls,8,13,1
North Valley High,2026,G09,G9,Girls,9,13,1
North Valley High,2026,G10,G10,Girls,10,13,1
North Valley High,2026,G11,G11,Girls,11,13,1
North Valley High,2026,G12,G12,Girls,12,13,1
North Valley High,2026,G13,G13,Girls,13,13,1
